Molecule,LogP_chembl
CMPLOGP00000673,0.3
CMPLOGP00000674,0.3
CMPLOGP00000675,0.31
CMPLOGP00000676,0.31
CMPLOGP00000677,0.31
CMPLOGP00000678,0.31
CMPLOGP00000679,0.31
CMPLOGP00000680,0.31
CMPLOGP00000681,0.31
CMPLOGP00000682,0.31
CMPLOGP00000683,0.31
CMPLOGP00000684,0.315
CMPLOGP00000685,0.32
CMPLOGP00000686,0.32
CMPLOGP00000687,0.32
CMPLOGP00000688,0.32
CMPLOGP00000689,0.32
CMPLOGP00000690,0.32
CMPLOGP00000691,0.32
CMPLOGP00000692,0.32
CMPLOGP00000693,0.33
CMPLOGP00000694,0.33
CMPLOGP00000695,0.33
CMPLOGP00000696,0.33
CMPLOGP00000697,0.34
CMPLOGP00000698,0.34
CMPLOGP00000699,0.34
CMPLOGP00000700,0.34
CMPLOGP00000701,0.34
CMPLOGP00000702,0.34
CMPLOGP00000703,0.341
CMPLOGP00000704,0.345
CMPLOGP00000705,0.35
CMPLOGP00000706,0.35
CMPLOGP00000707,0.35
CMPLOGP00000708,0.35
CMPLOGP00000709,0.35
CMPLOGP00000710,0.35
CMPLOGP00000711,0.35
CMPLOGP00000712,0.35
CMPLOGP00000713,0.35
CMPLOGP00000714,0.35
CMPLOGP00000715,0.351
CMPLOGP00000716,0.356
CMPLOGP00000717,0.36
CMPLOGP00000718,0.36
CMPLOGP00000719,0.36
CMPLOGP00000720,0.36
CMPLOGP00000721,0.36
CMPLOGP00000722,0.37
CMPLOGP00000723,0.37
CMPLOGP00000724,0.37
CMPLOGP00000725,0.37
CMPLOGP00000726,0.37
CMPLOGP00000727,0.37
CMPLOGP00000728,0.37
CMPLOGP00000729,0.372
CMPLOGP00000730,0.379
CMPLOGP00000731,0.38
CMPLOGP00000732,0.38
CMPLOGP00000733,0.38
CMPLOGP00000734,0.39
CMPLOGP00000735,0.396
CMPLOGP00000736,0.4
CMPLOGP00000737,0.4
CMPLOGP00000738,0.4
CMPLOGP00000739,0.4
CMPLOGP00000740,0.4
CMPLOGP00000741,0.4
CMPLOGP00000742,0.4
CMPLOGP00000743,0.4
CMPLOGP00000744,0.4
CMPLOGP00000745,0.41
CMPLOGP00000746,0.41
CMPLOGP00000747,0.41
CMPLOGP00000748,0.41
CMPLOGP00000749,0.42
CMPLOGP00000750,0.43
CMPLOGP00000751,0.43
CMPLOGP00000752,0.43
CMPLOGP00000753,0.43
CMPLOGP00000754,0.43
CMPLOGP00000755,0.44
CMPLOGP00000756,0.44
CMPLOGP00000757,0.44
CMPLOGP00000758,0.44
CMPLOGP00000759,0.44
CMPLOGP00000760,0.44
CMPLOGP00000761,0.44
CMPLOGP00000762,0.443
CMPLOGP00000763,0.45
CMPLOGP00000764,0.45
CMPLOGP00000765,0.45
CMPLOGP00000766,0.45
CMPLOGP00000767,0.45
CMPLOGP00000768,0.45
CMPLOGP00000769,0.45
CMPLOGP00000770,0.45
CMPLOGP00000771,0.45
CMPLOGP00000772,0.46
CMPLOGP00000773,0.46
CMPLOGP00000774,0.46
CMPLOGP00000775,0.46
CMPLOGP00000776,0.46
CMPLOGP00000777,0.46
CMPLOGP00000778,0.46
CMPLOGP00000779,0.46
CMPLOGP00000780,0.47
CMPLOGP00000781,0.47
CMPLOGP00000782,0.47
CMPLOGP00000783,0.47
CMPLOGP00000784,0.47
CMPLOGP00000785,0.47
CMPLOGP00000786,0.47
CMPLOGP00000787,0.47
CMPLOGP00000788,0.47
CMPLOGP00000789,0.48
CMPLOGP00000790,0.48
CMPLOGP00000791,0.48
CMPLOGP00000792,0.48
CMPLOGP00000793,0.49
CMPLOGP00000794,0.49
CMPLOGP00000795,0.49
CMPLOGP00000796,0.49
CMPLOGP00000797,0.49
CMPLOGP00000798,0.49
CMPLOGP00000799,0.49
CMPLOGP00000800,0.49
CMPLOGP00000801,0.496
CMPLOGP00000802,0.5
CMPLOGP00000803,0.5
CMPLOGP00000804,0.5
CMPLOGP00000805,0.5
CMPLOGP00000806,0.5
CMPLOGP00000807,0.5
CMPLOGP00000808,0.5
CMPLOGP00000809,0.5
CMPLOGP00000810,0.5
CMPLOGP00000811,0.5
CMPLOGP00000812,0.5
CMPLOGP00000813,0.5
CMPLOGP00000814,0.5
CMPLOGP00000815,0.5
CMPLOGP00000816,0.5
CMPLOGP00000817,0.5
CMPLOGP00000818,0.5
CMPLOGP00000819,0.51
CMPLOGP00000820,0.51
CMPLOGP00000821,0.51
CMPLOGP00000822,0.51
CMPLOGP00000823,0.51
CMPLOGP00000824,0.51
CMPLOGP00000825,0.52
CMPLOGP00000826,0.52
CMPLOGP00000827,0.52
CMPLOGP00000828,0.53
CMPLOGP00000829,0.53
CMPLOGP00000830,0.53
CMPLOGP00000831,0.53
CMPLOGP00000832,0.53
CMPLOGP00000833,0.53
CMPLOGP00000834,0.53
CMPLOGP00000835,0.53
CMPLOGP00000836,0.53
CMPLOGP00000837,0.53
CMPLOGP00000838,0.538
CMPLOGP00000839,0.54
CMPLOGP00000840,0.5401
CMPLOGP00000841,0.55
CMPLOGP00000842,0.55
CMPLOGP00000843,0.55
CMPLOGP00000844,0.55
CMPLOGP00000845,0.55
CMPLOGP00000846,0.55
CMPLOGP00000847,0.55
CMPLOGP00000848,0.56
CMPLOGP00000849,0.56
CMPLOGP00000850,0.57
CMPLOGP00000851,0.57
CMPLOGP00000852,0.57
CMPLOGP00000853,0.57
CMPLOGP00000854,0.58
CMPLOGP00000855,0.58
CMPLOGP00000856,0.58
CMPLOGP00000857,0.58
CMPLOGP00000858,0.58
CMPLOGP00000859,0.58
CMPLOGP00000860,0.59
CMPLOGP00000861,0.59
CMPLOGP00000862,0.59
CMPLOGP00000863,0.59
CMPLOGP00000864,0.59
CMPLOGP00000865,0.59
CMPLOGP00000866,0.59
CMPLOGP00000867,0.6
CMPLOGP00000868,0.6
CMPLOGP00000869,0.6
CMPLOGP00000870,0.6
CMPLOGP00000871,0.6
CMPLOGP00000872,0.6
CMPLOGP00000873,0.6
CMPLOGP00000874,0.6
CMPLOGP00000875,0.6
CMPLOGP00000876,0.61
CMPLOGP00000877,0.61
CMPLOGP00000878,0.61
CMPLOGP00000879,0.61
CMPLOGP00000880,0.61
CMPLOGP00000881,0.62
CMPLOGP00000882,0.62
CMPLOGP00000883,0.62
CMPLOGP00000884,0.62
CMPLOGP00000885,0.62
CMPLOGP00000886,0.622
CMPLOGP00000887,0.627
CMPLOGP00000888,0.63
CMPLOGP00000889,0.63
CMPLOGP00000890,0.63
CMPLOGP00000891,0.63
CMPLOGP00000892,0.64
CMPLOGP00000893,0.64
CMPLOGP00000894,0.64
CMPLOGP00000895,0.64
CMPLOGP00000896,0.64
CMPLOGP00000897,0.65
CMPLOGP00000898,0.65
CMPLOGP00000899,0.65
CMPLOGP00000900,0.66
CMPLOGP00000901,0.66
CMPLOGP00000902,0.66
CMPLOGP00000903,0.66
CMPLOGP00000904,0.66
CMPLOGP00000905,0.66
CMPLOGP00000906,0.66
CMPLOGP00000907,0.66
CMPLOGP00000908,0.66
CMPLOGP00000909,0.67
CMPLOGP00000910,0.67
CMPLOGP00000911,0.67
CMPLOGP00000912,0.67
