Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/CDK8_KNeighbors,0.733096,0.714077,0.460300,5.243204e-09
RDKitDescriptorsResults/CDK8_PLS,0.656240,0.673151,0.516881,1.079451e-07
RDKitDescriptorsResults/CDK8_PLS-SKLEARN,0.717129,0.709880,0.472055,5.377463e-07
RDKitDescriptorsResults/CDK8_XGBoost,0.485965,0.537975,0.642236,8.284473e-07
RDKitDescriptorsResults/CDK8_CatBoost,0.551401,0.606860,0.594063,2.588082e-06
RDKitDescriptorsResults/CDK8_DNN,1.102519,0.862811,0.188334,9.131200e-06
RDKitDescriptorsResults/CDK9_Linear-SVR,0.771164,0.700679,0.288987,4.707711e-09
RDKitDescriptorsResults/CDK9_RBF-SVR,0.541381,0.594315,0.500847,3.255089e-09
RDKitDescriptorsResults/CDK9_DecisionTree,0.713857,0.656925,0.341823,4.059738e-09
RDKitDescriptorsResults/CDK9_ExtraTrees,0.476126,0.540326,0.561012,2.892696e-07
RDKitDescriptorsResults/CDK9_RandomForest,0.422951,0.527178,0.610039,4.973496e-07
RDKitDescriptorsResults/CDK9_KNeighbors,0.651703,0.627597,0.399129,5.015834e-09
RDKitDescriptorsResults/CDK9_PLS,0.828099,0.722252,0.236493,8.155172e-08
RDKitDescriptorsResults/CDK9_PLS-SKLEARN,0.659311,0.652613,0.392115,4.395437e-07
RDKitDescriptorsResults/CDK9_XGBoost,0.489540,0.550321,0.548644,8.010295e-07
RDKitDescriptorsResults/CDK9_CatBoost,0.473648,0.542881,0.563296,2.525204e-06
RDKitDescriptorsResults/CDK9_DNN,0.689653,0.661103,0.364139,9.257948e-06
RDKitDescriptorsResults/CHEK1_Linear-SVR,0.545499,0.581473,0.444092,3.433466e-09
RDKitDescriptorsResults/CHEK1_RBF-SVR,0.580242,0.569181,0.408686,4.767468e-09
RDKitDescriptorsResults/CHEK1_DecisionTree,0.656789,0.627256,0.330679,4.509515e-09
RDKitDescriptorsResults/CHEK1_ExtraTrees,0.607047,0.615480,0.381370,3.119663e-07
RDKitDescriptorsResults/CHEK1_RandomForest,0.539533,0.575992,0.450173,5.580802e-07
RDKitDescriptorsResults/CHEK1_KNeighbors,0.667631,0.640367,0.319630,5.513893e-09
RDKitDescriptorsResults/CHEK1_PLS,0.902700,0.774440,0.080075,9.820060e-08
RDKitDescriptorsResults/CHEK1_PLS-SKLEARN,0.843723,0.741806,0.140178,5.424195e-07
RDKitDescriptorsResults/CHEK1_XGBoost,0.511676,0.548416,0.478561,8.783495e-07
RDKitDescriptorsResults/CHEK1_CatBoost,0.561366,0.583350,0.427922,2.308434e-06
RDKitDescriptorsResults/CHEK1_DNN,1.141175,0.850922,-0.162949,1.072237e-05
RDKitDescriptorsResults/CHEK2_Linear-SVR,0.539466,0.559036,-0.056781,4.143306e-09
RDKitDescriptorsResults/CHEK2_RBF-SVR,0.392886,0.501612,0.230361,4.325960e-09
RDKitDescriptorsResults/CHEK2_DecisionTree,0.772841,0.725440,-0.513949,4.412067e-09
RDKitDescriptorsResults/CHEK2_ExtraTrees,0.375664,0.495839,0.264097,3.755317e-07
RDKitDescriptorsResults/CHEK2_RandomForest,0.416840,0.504082,0.183437,5.210850e-07
RDKitDescriptorsResults/CHEK2_KNeighbors,0.480444,0.572308,0.058840,5.584238e-09
RDKitDescriptorsResults/CHEK2_PLS,0.555614,0.602262,-0.088414,8.003065e-08
RDKitDescriptorsResults/CHEK2_PLS-SKLEARN,0.555614,0.602262,-0.088414,4.618133e-07
RDKitDescriptorsResults/CHEK2_XGBoost,0.355714,0.482323,0.303178,9.029778e-07
RDKitDescriptorsResults/CHEK2_CatBoost,0.378704,0.495069,0.258141,2.564997e-06
