Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/CDK9_RBF-SVR,0.819916,0.702366,0.244038,1.104774e-09
RDKitECFPMorganFP/CDK9_DecisionTree,0.883830,0.750232,0.185108,7.174453e-10
RDKitECFPMorganFP/CDK9_ExtraTrees,0.635796,0.668568,0.413795,8.842460e-08
RDKitECFPMorganFP/CDK9_RandomForest,0.688023,0.636984,0.365643,8.121971e-08
RDKitECFPMorganFP/CDK9_KNeighbors,1.819766,1.088809,-0.677825,6.063834e-10
RDKitECFPMorganFP/CDK9_PLS,0.744764,0.686416,0.313327,2.617004e-08
RDKitECFPMorganFP/CDK9_PLS-SKLEARN,0.647856,0.632977,0.402677,4.438009e-09
RDKitECFPMorganFP/CDK9_XGBoost,0.861522,0.730045,0.205676,5.035655e-07
RDKitECFPMorganFP/CDK9_CatBoost,0.631766,0.617107,0.417511,5.703034e-07
RDKitECFPMorganFP/CDK9_DNN,0.898232,0.757540,0.171830,2.693906e-06
RDKitECFPMorganFP/CHEK1_Linear-SVR,0.708318,0.650676,0.278167,9.593653e-10
RDKitECFPMorganFP/CHEK1_RBF-SVR,0.706355,0.657140,0.280167,1.262079e-09
RDKitECFPMorganFP/CHEK1_DecisionTree,1.148609,0.811670,-0.170525,7.237598e-10
RDKitECFPMorganFP/CHEK1_ExtraTrees,1.008285,0.785047,-0.027524,1.060207e-07
RDKitECFPMorganFP/CHEK1_RandomForest,0.727054,0.645036,0.259073,8.801459e-08
RDKitECFPMorganFP/CHEK1_KNeighbors,0.882683,0.735536,0.100475,6.360912e-10
RDKitECFPMorganFP/CHEK1_PLS,0.655933,0.603405,0.331551,3.290927e-08
RDKitECFPMorganFP/CHEK1_PLS-SKLEARN,0.599466,0.576447,0.389095,4.713983e-09
RDKitECFPMorganFP/CHEK1_XGBoost,0.745250,0.656012,0.240531,5.537862e-07
RDKitECFPMorganFP/CHEK1_CatBoost,0.669690,0.600844,0.317532,7.002899e-07
RDKitECFPMorganFP/CHEK1_DNN,1.102743,0.830233,-0.123784,2.716620e-06
RDKitECFPMorganFP/CHEK2_Linear-SVR,0.362046,0.478179,0.290773,8.528374e-10
RDKitECFPMorganFP/CHEK2_RBF-SVR,0.365873,0.472183,0.283276,1.013793e-09
RDKitECFPMorganFP/CHEK2_DecisionTree,0.488703,0.540675,0.042661,5.602927e-10
RDKitECFPMorganFP/CHEK2_ExtraTrees,0.595973,0.612104,-0.167475,9.280891e-08
RDKitECFPMorganFP/CHEK2_RandomForest,0.455172,0.547479,0.108345,7.840380e-08
RDKitECFPMorganFP/CHEK2_KNeighbors,0.460897,0.543588,0.097130,6.340140e-10
RDKitECFPMorganFP/CHEK2_PLS,0.368225,0.481255,0.278670,2.424143e-08
RDKitECFPMorganFP/CHEK2_PLS-SKLEARN,0.383191,0.487197,0.249352,4.145311e-09
RDKitECFPMorganFP/CHEK2_XGBoost,0.559291,0.580080,-0.095616,4.849086e-07
RDKitECFPMorganFP/CHEK2_CatBoost,0.420241,0.519888,0.176773,6.226856e-07
